Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
EDITOR VIDEO,PT. NUANSA PEDAS MAKMUR,Jakarta Barat,"Rp5,098,396"
Head Sales Admin,PT Higienis Indonesia,Jakarta Pusat,"Rp7,750,000"
Head Sales Admin,PT Higienis Indonesia,Jakarta Pusat,"Rp7,750,000"
Management Trainee (Sales Marketing),PT ST Morita Industries (MORITA GROUP),Jakarta Timur,"Rp5,500,000"
Social media specialist,PT KARYA KREATIF INDOTAS,Tangerang,"Rp7,440,000"
Group Finance Manager,PT. Prakasa Makmur Kencana,Tangerang,"Rp30,000,000"
Procurement Intern,PT CBC Indonesia (Motion Indonesia),Tangerang,"Rp1,932,172"
Finance Staff,PT. Vallianz Offshore Maritim,Jakarta Selatan,"Rp5,643,135"
SALES MANAGER,PT OSA MEGAH INDONESIA,Jakarta Raya,"Rp17,500,000"
HR Adminsitrator,Oakberry,Denpasar,"Rp12,000,000"
ACMV Projects Engineer (Jakarta / Batam),PT. Newark Engineering Indonesia,Jakarta Raya,"Rp12,500,000"
Marketing Officer (Jabodetabek),PT Dipo Star Finance,Jakarta Raya,"Rp6,250,000"
Head of Commercial - Logistics,PT Adecco Personnel Indonesia,Cikarang,"Rp60,000,000"
Production Planning & Inventory Management Supervisor,PT Selatox Bio Pharma,Cikarang,"Rp6,903,606"
Area Sales Supervisor (Material Building - PIPA PVC),PT BHINNEKA PLASTIK INDONESIA,Jakarta Barat,"Rp9,000,000"
Purchasing Specialist Officer,PT. Mega Bintang Mas Indonesia,Medan,"Rp6,156,830"
Secretary,Pengiklan Anonim,Jakarta Raya,"Rp6,038,119"
Assistant Manager Produksi - Tangerang,PT Fumakilla Indonesia,Tangerang,"Rp10,215,134"
Staff System & Network Engineer,PT Abadi Tambah Mulia Internasional,Jakarta Selatan,"Rp6,750,000"
Production Supervisor,PT. Zhi Xing Indonesia,Tangerang,"Rp7,500,000"
Acquisition Staff,PT. MAX AUTO INDONESIA,Medan,"Rp5,141,908"
"Finance, Accounting, & Tax",CIPUTRA GROUP,Jakarta Raya,"Rp7,774,945"
Accounting & Tax Consultant,PT Fuji Staff Indonesia,Jakarta Selatan,"Rp8,625,000"
HRGA JUNIOR,PT Anugerah Cahaya Chandra,Bogor,"Rp5,250,000"
Operational Marketplace Supervisor (Supervisor Gudang E-commerce),ALPINIKA UNGGUL,Jakarta Barat,"Rp6,871,927"
Marketing Communication Manager,CIPUTRA GROUP,Jakarta Raya,"Rp15,035,431"
Site Manager - Real Estate,PT Gaia Dhara Pratama,Badung,"Rp12,500,000"
PENGURUS KEBUN VILLA PRIBADI,Pengiklan Anonim,Bandung Barat,"Rp5,679,086"
FINANCE AND ADMINISTRATION MANAGER,Pengiklan Anonim,Jakarta Timur,"Rp15,137,830"
Team Leader - Engineering (Coil winding operations),PT Patco Elektronik Teknologi,Cikarang,"Rp7,018,360"
Desk collection,PT SENTRAL INFORMA DIGITAL,Jakarta Pusat,"Rp3,875,000"
PENGELOLA DAN PENGEMBANG BISNIS VILLA PRIBADI,Pengiklan Anonim,Bandung Barat,"Rp5,488,666"
SENIOR BUYER FRESH FOOD,PT Mutiara Cahaya Tegal,Tegal,"Rp5,500,000"
Financial Controller,Eurokars Group,Jakarta Selatan,"Rp12,500,000"
Financial Controller,Eurokars Group,Jakarta Selatan,"Rp10,922,041"
Tax Officer,PT Plaza Nusantara Realti,Jakarta Pusat,"Rp6,151,365"
Branch Manager,PT Wedison Green Energy Group,Bali,"Rp12,500,000"
Business Development - Hotel (BD Hotel),PT. Gbrooms Virtual Indonesia (98hospitality Management),Jakarta Utara,"Rp5,000,000"
Sales Media Officer,PT Metra-Net,Jakarta Selatan,"Rp5,462,933"
KEPALA BAGIAN FINANCE,PT. Singa Berlian Plastik,Jakarta Barat,"Rp11,500,000"
Host Live Streaming,PT Buymore Indonesia Trading,Kebon Jeruk,"Rp5,875,000"
Engineering Supervisor,Dwi Satrya Utama,Cikarang,"Rp7,750,000"
HC Operational Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp6,566,924"
Content Creator (Photo & Video Editor),House of Panda,Jakarta Raya,"Rp4,500,000"
SITE MANAGER PROYEK PERUMAHAN LANDED,PT Praja Sakti Propertindo,Karawang,"Rp10,000,000"
Sales Admin & Junior Analyst,Pengiklan Anonim,Jakarta Barat,"Rp4,395,868"
Advertising,PT. Purnama Land,Kabupaten Bandung,"Rp5,750,000"
Sekretaris Direktur Operasional,PT. Pessindo Makmur Jaya,Pematangsiantar,"Rp4,000,000"
Mechanical Engineer / Teknisi,PT Desjoyaux Indonesia,Jakarta Barat,"Rp6,668,407"
GRAFIK DESIGN KOSMETIK INDUSTRI,PT Shangyang Technology Indonesia,Jakarta Utara,"Rp5,500,000"
Officer Settlement,HuntHire,Jakarta Pusat,"Rp6,035,127"
Live Streaming Supervisor,PT. Cahaya Ayu Abadi,Kecamatan Tangerang,"Rp7,000,000"
Internal Audit,PT Sistima Aliran gas Nusantara,Jakarta Raya,"Rp7,000,000"
Customer Success,Bookandlink (PT Surya Jagat Mandiri),Denpasar,"Rp5,750,000"
ACCOUNTING & TAX STAFF,PT China Jinyuan Baishitai,Jakarta Utara,"Rp10,000,000"
TikTok Video Shooter & Editor,MGE Content and Commerce Partner,Jakarta Selatan,"Rp6,500,000"
Export Customer Service / export sales administration,KPPA ASIADESC,Surabaya,"Rp4,850,000"
